id,repdem,libcon
13444,Democrat (Weakly Democratic),Liberal
13446,Independent (Lean toward the Democratic Party),Slightly conservative
13451,Democrat (Weakly Democratic),Liberal
13457,Independent (Lean toward the Republican Party),Moderate
13463,Independent (Lean toward the Democratic Party),Moderate
13464,Republican (Weakly Republican),Conservative
13465,Democrat (Weakly Democratic),Moderate
13468,Democrat (Strongly Democratic),Extremely liberal
13469,Independent,Moderate
13482,Democrat (Strongly Democratic),Liberal
13485,Independent (Lean toward the Republican Party),Liberal
13489,Independent,Moderate
13491,Democrat (Strongly Democratic),Liberal
13494,Independent,Moderate
13495,Democrat (Weakly Democratic),Liberal
13498,Democrat (Strongly Democratic),Liberal
13500,Independent (Lean toward the Democratic Party),Moderate
13503,Independent,Moderate
13504,Democrat (Weakly Democratic),Slightly liberal
13507,Democrat (Strongly Democratic),Liberal
13510,Republican (Strongly Republican),Conservative
13512,Republican (Weakly Republican),Slightly conservative
13514,Independent (Lean toward the Democratic Party),Liberal
13516,Independent (Lean toward the Republican Party),Conservative
13518,Republican (Weakly Republican),Conservative
13525,Democrat (Weakly Democratic),Liberal
13526,Independent (Lean toward the Republican Party),Slightly liberal
13532,Democrat (Strongly Democratic),Liberal
13538,Independent,Moderate
13540,Independent (Lean toward the Democratic Party),Moderate
13543,Independent (Lean toward the Democratic Party),Moderate
13546,Independent (Lean toward the Democratic Party),Slightly liberal
13547,Independent,Moderate
13555,Independent,Slightly conservative
13559,Independent,Slightly conservative
13560,Democrat (Strongly Democratic),Moderate
13562,Independent (Lean toward the Republican Party),Moderate
13563,Independent (Lean toward the Republican Party),Moderate
13564,Democrat (Weakly Democratic),Moderate
13566,Democrat (Strongly Democratic),Extremely liberal
13567,Independent,Moderate
13573,Democrat (Strongly Democratic),Extremely liberal
13575,Democrat (Weakly Democratic),Moderate
13576,Independent (Lean toward the Democratic Party),Slightly liberal
13580,Independent (Lean toward the Republican Party),Slightly conservative
13584,Democrat (Weakly Democratic),Slightly liberal
13585,Democrat (Strongly Democratic),Extremely liberal
13586,Democrat (Strongly Democratic),Liberal
13592,Independent (Lean toward the Republican Party),Slightly conservative
13595,Independent,Slightly liberal
13597,Democrat (Strongly Democratic),Liberal
13599,Independent (Lean toward the Democratic Party),Slightly liberal
13601,Democrat (Strongly Democratic),Liberal
13602,Democrat (Weakly Democratic),Liberal
13606,Democrat (Weakly Democratic),Moderate
13608,Independent (Lean toward the Democratic Party),Liberal
13610,Democrat (Strongly Democratic),Extremely liberal
13611,Democrat (Strongly Democratic),Liberal
13614,Democrat (Weakly Democratic),Liberal
13615,Democrat (Weakly Democratic),Slightly liberal
13617,Independent,Moderate
13622,Democrat (Weakly Democratic),Liberal
13629,Independent (Lean toward the Democratic Party),Extremely liberal
13630,Democrat (Weakly Democratic),Liberal
13631,Republican (Weakly Republican),Moderate
13639,Democrat (Strongly Democratic),Extremely liberal
13648,Independent (Lean toward the Democratic Party),Moderate
13649,Democrat (Weakly Democratic),Moderate
13652,Independent,Moderate
13654,Independent,Extremely liberal
13655,Independent (Lean toward the Democratic Party),Slightly liberal
13656,Democrat (Weakly Democratic),Liberal
13661,Democrat (Strongly Democratic),Moderate
13663,Independent (Lean toward the Republican Party),Slightly conservative
13670,Independent,Conservative
13671,Democrat (Strongly Democratic),Liberal
13683,Democrat (Strongly Democratic),Liberal
13686,Republican (Weakly Republican),Slightly conservative
13689,Democrat (Weakly Democratic),Slightly liberal
13691,Democrat (Strongly Democratic),Liberal
13699,Independent (Lean toward the Democratic Party),Liberal
13700,Independent (Lean toward the Republican Party),Slightly conservative
13701,Independent (Lean toward the Republican Party),Moderate
13706,Republican (Weakly Republican),Moderate
13709,Independent,Moderate
13711,Independent (Lean toward the Democratic Party),Slightly liberal
13715,Independent (Lean toward the Republican Party),Slightly conservative
13720,Democrat (Strongly Democratic),Extremely liberal
13721,Democrat (Strongly Democratic),Extremely liberal
13726,Independent (Lean toward the Republican Party),Slightly conservative
13729,Democrat (Strongly Democratic),Liberal
13733,Independent,Slightly liberal
13742,Democrat (Strongly Democratic),Slightly liberal
13749,Republican (Weakly Republican),Slightly conservative
13756,Democrat (Weakly Democratic),Slightly liberal
13759,Independent,Moderate
13760,Independent (Lean toward the Democratic Party),Moderate
13761,Democrat (Strongly Democratic),Liberal
13768,Republican (Weakly Republican),Conservative
13769,Independent (Lean toward the Republican Party),Conservative
13770,Republican (Strongly Republican),Extremely conservative
13778,Independent (Lean toward the Democratic Party),Extremely liberal
13779,Democrat (Strongly Democratic),Liberal
13780,Independent (Lean toward the Democratic Party),Slightly conservative
13789,Independent,Moderate
13790,Independent (Lean toward the Democratic Party),Moderate
13796,Democrat (Strongly Democratic),Liberal
13798,Democrat (Strongly Democratic),Extremely liberal
13799,Independent (Lean toward the Republican Party),Slightly conservative
13802,Independent (Lean toward the Democratic Party),Liberal
13807,Independent,Moderate
13809,Independent (Lean toward the Republican Party),Moderate
13813,Democrat (Strongly Democratic),Extremely liberal
13814,Independent,Slightly liberal
13820,Democrat (Weakly Democratic),Liberal
13825,Democrat (Strongly Democratic),Liberal
13827,Democrat (Strongly Democratic),Extremely liberal
13828,Democrat (Weakly Democratic),Slightly conservative
13830,Democrat (Strongly Democratic),Conservative
13836,Democrat (Strongly Democratic),Liberal
13837,Democrat (Strongly Democratic),Liberal
13838,Republican (Strongly Republican),Extremely conservative
13854,Democrat (Strongly Democratic),Liberal
13855,Independent (Lean toward the Democratic Party),Liberal
13861,Democrat (Strongly Democratic),Extremely conservative
13867,Republican (Strongly Republican),Conservative
13868,Democrat (Weakly Democratic),Slightly liberal
13875,Independent (Lean toward the Republican Party),Conservative
13876,Independent (Lean toward the Republican Party),Conservative
13878,Independent (Lean toward the Democratic Party),Extremely liberal
13884,Independent,Extremely liberal
13890,Independent (Lean toward the Democratic Party),Slightly liberal
13893,Democrat (Strongly Democratic),Extremely liberal
13894,Democrat (Strongly Democratic),Extremely liberal
13896,Democrat (Strongly Democratic),Extremely liberal
13897,Independent,Slightly liberal
13899,Independent (Lean toward the Republican Party),Conservative
13902,Independent,Extremely liberal
13907,Republican (Weakly Republican),Slightly conservative
13910,Democrat (Strongly Democratic),Extremely conservative
13912,Democrat (Strongly Democratic),Liberal
13915,Independent (Lean toward the Democratic Party),Slightly conservative
13917,Independent (Lean toward the Democratic Party),Moderate
13929,Democrat (Weakly Democratic),Liberal
13934,Republican (Weakly Republican),Moderate
13935,Republican (Weakly Republican),Slightly conservative
13941,Independent,Moderate
13945,Republican (Strongly Republican),Conservative
13948,Independent (Lean toward the Democratic Party),Slightly liberal
13962,Independent (Lean toward the Republican Party),Conservative
13966,Democrat (Weakly Democratic),Liberal
13975,Independent (Lean toward the Republican Party),Moderate
13976,Independent,Slightly conservative
13979,Democrat (Weakly Democratic),Liberal
13981,Democrat (Weakly Democratic),Slightly liberal
13984,Democrat (Strongly Democratic),Liberal
13992,Democrat (Strongly Democratic),Extremely liberal
13997,Independent (Lean toward the Democratic Party),Liberal
13999,Independent,Moderate
14003,Independent (Lean toward the Republican Party),Conservative
14005,Democrat (Strongly Democratic),Liberal
14007,Democrat (Weakly Democratic),Slightly liberal
14009,Democrat (Weakly Democratic),Extremely liberal
14011,Democrat (Strongly Democratic),Extremely liberal
14012,Democrat (Weakly Democratic),Moderate
14016,Democrat (Weakly Democratic),Conservative
14017,Democrat (Strongly Democratic),Slightly liberal
14021,Democrat (Strongly Democratic),Liberal
14022,Independent (Lean toward the Republican Party),Slightly conservative
14032,Democrat (Weakly Democratic),Liberal
14036,Independent (Lean toward the Democratic Party),Liberal
14039,Democrat (Strongly Democratic),Liberal
14041,Independent (Lean toward the Democratic Party),Slightly liberal
14044,Independent,Moderate
14051,Independent (Lean toward the Democratic Party),Extremely liberal
14065,Democrat (Strongly Democratic),Conservative
14066,Independent,Conservative
14070,Republican (Weakly Republican),Conservative
14071,Independent (Lean toward the Democratic Party),Liberal
14072,Republican (Strongly Republican),Conservative
14076,Democrat (Strongly Democratic),Extremely liberal
14088,Democrat (Strongly Democratic),Liberal
14089,Democrat (Strongly Democratic),Extremely liberal
14093,Independent,Slightly liberal
14106,Democrat (Strongly Democratic),Slightly liberal
14110,Independent,Moderate
14111,Independent (Lean toward the Democratic Party),Liberal
14112,Democrat (Strongly Democratic),Liberal
14115,Independent (Lean toward the Democratic Party),Moderate
14117,Republican (Weakly Republican),Conservative
14123,Democrat (Strongly Democratic),Liberal
14124,Democrat (Strongly Democratic),Liberal
14139,Democrat (Strongly Democratic),Extremely liberal
14140,Democrat (Weakly Democratic),Liberal
14143,Democrat (Weakly Democratic),Liberal
14144,Independent (Lean toward the Democratic Party),Slightly liberal
14147,Democrat (Strongly Democratic),Liberal
14150,Independent (Lean toward the Republican Party),Slightly conservative
14155,Independent (Lean toward the Democratic Party),Moderate
14156,Republican (Weakly Republican),Conservative
14159,Republican (Strongly Republican),Conservative
14160,Independent (Lean toward the Republican Party),Moderate
14161,Democrat (Strongly Democratic),Extremely liberal
14163,Independent (Lean toward the Democratic Party),Slightly liberal
14165,Democrat (Strongly Democratic),Liberal
14170,Democrat (Strongly Democratic),Liberal
14183,Independent (Lean toward the Democratic Party),Moderate
14187,Democrat (Strongly Democratic),Extremely liberal
14195,Independent,Moderate
14196,Democrat (Strongly Democratic),Liberal
14204,Republican (Strongly Republican),Extremely conservative
14205,Independent (Lean toward the Democratic Party),Extremely liberal
14208,Republican (Strongly Republican),Conservative
14209,Democrat (Weakly Democratic),Slightly liberal
14218,Independent (Lean toward the Democratic Party),Moderate
14219,Independent (Lean toward the Republican Party),Moderate
14221,Democrat (Strongly Democratic),Extremely liberal
14225,Democrat (Strongly Democratic),Moderate
14228,Independent,Extremely liberal
14233,Democrat (Weakly Democratic),Moderate
14235,Independent,Liberal
14236,Democrat (Strongly Democratic),Liberal
14237,Independent,Moderate
14240,Independent (Lean toward the Republican Party),Conservative
14244,Independent (Lean toward the Democratic Party),Slightly conservative
14248,Democrat (Strongly Democratic),Liberal
14252,Independent (Lean toward the Democratic Party),Slightly liberal
14253,Independent (Lean toward the Democratic Party),Slightly liberal
14254,Independent (Lean toward the Republican Party),Moderate
14259,Democrat (Strongly Democratic),Extremely liberal
14273,Democrat (Strongly Democratic),Slightly liberal
14276,Independent,Moderate
14277,Independent,Slightly liberal
14284,Democrat (Strongly Democratic),Liberal
14296,Independent (Lean toward the Republican Party),Moderate
14297,Independent (Lean toward the Democratic Party),Moderate
14302,Independent (Lean toward the Republican Party),Conservative
14304,Independent,Liberal
14308,Democrat (Strongly Democratic),Liberal
14316,Independent (Lean toward the Democratic Party),Moderate
14317,Republican (Strongly Republican),Conservative
14320,Democrat (Weakly Democratic),Slightly liberal
14321,Independent (Lean toward the Democratic Party),Slightly liberal
14324,Independent,Moderate
14325,Independent (Lean toward the Democratic Party),Liberal
14327,Democrat (Strongly Democratic),Extremely liberal
14331,Independent (Lean toward the Republican Party),Conservative
14338,Independent (Lean toward the Democratic Party),Slightly liberal
14342,Democrat (Strongly Democratic),Liberal
14344,Republican (Weakly Republican),Slightly conservative
14353,Independent (Lean toward the Democratic Party),Moderate
14357,Democrat (Strongly Democratic),Extremely liberal
14358,Independent (Lean toward the Democratic Party),Slightly liberal
14365,Democrat (Strongly Democratic),Liberal
14375,Democrat (Weakly Democratic),Moderate
14385,Democrat (Strongly Democratic),Liberal
14387,Independent,Slightly liberal
14397,Independent (Lean toward the Democratic Party),Moderate
14398,Independent (Lean toward the Democratic Party),Liberal
14402,Republican (Strongly Republican),Conservative
14404,Independent (Lean toward the Republican Party),Slightly conservative
14408,Democrat (Strongly Democratic),Liberal
14413,Independent (Lean toward the Democratic Party),Slightly liberal
14419,Democrat (Weakly Democratic),Liberal
14426,Democrat (Weakly Democratic),Extremely liberal
14427,Republican (Weakly Republican),Extremely conservative
14428,Democrat (Strongly Democratic),Liberal
14431,Independent (Lean toward the Democratic Party),Liberal
14434,Democrat (Strongly Democratic),Extremely liberal
14444,Democrat (Strongly Democratic),Moderate
14450,Independent (Lean toward the Democratic Party),Slightly liberal
14452,Republican (Strongly Republican),Conservative
14456,Republican (Strongly Republican),Extremely conservative
14457,Republican (Weakly Republican),Slightly conservative
14460,Democrat (Strongly Democratic),Slightly conservative
14476,Democrat (Weakly Democratic),Slightly liberal
14477,Independent,Slightly liberal
14479,Independent,Moderate
14487,Independent,Moderate
14488,Democrat (Strongly Democratic),Extremely liberal
14492,Democrat (Strongly Democratic),Liberal
14497,Democrat (Strongly Democratic),Liberal
14498,Independent,Moderate
14500,Democrat (Weakly Democratic),Moderate
14504,Democrat (Strongly Democratic),Liberal
14506,Independent (Lean toward the Democratic Party),Slightly liberal
14508,Democrat (Weakly Democratic),Moderate
14511,Independent,Extremely liberal
14513,Independent,Slightly liberal
14514,Democrat (Strongly Democratic),Extremely liberal
14517,Democrat (Strongly Democratic),Liberal
14519,Independent,Moderate
14524,Independent,Slightly liberal
14527,Democrat (Strongly Democratic),Liberal
14532,Democrat (Strongly Democratic),Extremely liberal
14541,Independent (Lean toward the Democratic Party),Liberal
14547,Republican (Weakly Republican),Moderate
14551,Democrat (Weakly Democratic),Moderate
14557,Democrat (Strongly Democratic),Liberal
14579,Republican (Weakly Republican),Slightly conservative
14583,Democrat (Strongly Democratic),Liberal
14584,Democrat (Strongly Democratic),Slightly liberal
14599,Democrat (Strongly Democratic),Slightly liberal
14605,Democrat (Strongly Democratic),Moderate
14612,Democrat (Weakly Democratic),Extremely liberal
14613,Democrat (Strongly Democratic),Extremely liberal
14617,Democrat (Strongly Democratic),Extremely liberal
14619,Democrat (Strongly Democratic),Liberal
14624,Independent (Lean toward the Democratic Party),Slightly liberal
14626,Independent (Lean toward the Republican Party),Slightly conservative
14628,Independent,Moderate
14634,Democrat (Strongly Democratic),Extremely liberal
14637,Independent,Moderate
14639,Democrat (Weakly Democratic),Liberal
14642,Democrat (Strongly Democratic),Extremely liberal
14645,Independent (Lean toward the Democratic Party),Slightly conservative
14647,Democrat (Strongly Democratic),Moderate
14651,Republican (Weakly Republican),Conservative
14656,Republican (Strongly Republican),Conservative
14657,Democrat (Strongly Democratic),Extremely liberal
14658,Democrat (Strongly Democratic),Extremely liberal
14660,Democrat (Strongly Democratic),Extremely liberal
14662,Independent,Extremely liberal
14664,Democrat (Strongly Democratic),Extremely liberal
14667,Independent (Lean toward the Democratic Party),Moderate
14668,Independent (Lean toward the Republican Party),Extremely conservative
14671,Independent,Moderate
14678,Republican (Strongly Republican),Conservative
14686,Democrat (Strongly Democratic),Extremely liberal
14687,Independent (Lean toward the Republican Party),Slightly conservative
14701,Independent (Lean toward the Republican Party),Conservative
14704,Independent (Lean toward the Republican Party),Slightly liberal
14705,Independent,Moderate
14706,Independent,Moderate
14711,Democrat (Strongly Democratic),Extremely liberal
14716,Democrat (Strongly Democratic),Liberal
14717,Democrat (Strongly Democratic),Moderate
14718,Democrat (Strongly Democratic),Liberal
14725,Independent (Lean toward the Democratic Party),Slightly liberal
14727,Republican (Weakly Republican),Conservative
14729,Independent,Moderate
14738,Democrat (Strongly Democratic),Extremely liberal
14740,Independent (Lean toward the Democratic Party),Slightly liberal
14742,Independent (Lean toward the Democratic Party),Liberal
14743,Independent (Lean toward the Republican Party),Conservative
14746,Democrat (Strongly Democratic),Liberal
14747,Independent,Moderate
14751,Independent (Lean toward the Democratic Party),Liberal
14762,Democrat (Strongly Democratic),Liberal
14771,Democrat (Strongly Democratic),Liberal
14773,Republican (Weakly Republican),Conservative
14774,Democrat (Weakly Democratic),Moderate
14776,Independent,Moderate
14778,Democrat (Strongly Democratic),Extremely liberal
14782,Democrat (Strongly Democratic),Slightly liberal
14785,Republican (Weakly Republican),Moderate
14789,Republican (Weakly Republican),Conservative
14791,Independent (Lean toward the Republican Party),Slightly conservative
14795,Democrat (Strongly Democratic),Liberal
14800,Republican (Strongly Republican),Extremely conservative
14818,Independent (Lean toward the Republican Party),Conservative
14830,Republican (Weakly Republican),Slightly conservative
14846,Republican (Strongly Republican),Conservative
14849,Independent (Lean toward the Democratic Party),Slightly conservative
14850,Independent,Slightly liberal
14851,Democrat (Weakly Democratic),Liberal
14853,Independent,Liberal
14856,Democrat (Strongly Democratic),Extremely liberal
14860,Democrat (Strongly Democratic),Extremely liberal
14866,Independent (Lean toward the Democratic Party),Liberal
14868,Democrat (Strongly Democratic),Liberal
14869,Democrat (Strongly Democratic),Liberal
14874,Democrat (Strongly Democratic),Extremely liberal
14883,Democrat (Strongly Democratic),Liberal
14885,Independent (Lean toward the Democratic Party),Liberal
14892,Independent (Lean toward the Democratic Party),Slightly liberal
14895,Independent,Conservative
14899,Independent (Lean toward the Democratic Party),Liberal
14900,Democrat (Strongly Democratic),Extremely liberal
14906,Democrat (Weakly Democratic),Extremely liberal
14911,Independent (Lean toward the Democratic Party),Extremely liberal
14919,Independent,Liberal
14927,Independent,Moderate
14932,Democrat (Strongly Democratic),Liberal
14934,Independent (Lean toward the Democratic Party),Liberal
14935,Independent (Lean toward the Republican Party),Slightly conservative
14946,Republican (Weakly Republican),Slightly conservative
14947,Democrat (Strongly Democratic),Liberal
14951,Independent,Moderate
14965,Democrat (Strongly Democratic),Extremely liberal
14969,Republican (Strongly Republican),Extremely conservative
14970,Independent (Lean toward the Democratic Party),Moderate
14974,Democrat (Weakly Democratic),Moderate
14978,Democrat (Weakly Democratic),Liberal
14991,Republican (Strongly Republican),Conservative
15005,Democrat (Strongly Democratic),Liberal
15016,Independent (Lean toward the Democratic Party),Liberal
15021,Independent (Lean toward the Republican Party),Slightly conservative
15023,Independent (Lean toward the Democratic Party),Liberal
15025,Independent (Lean toward the Democratic Party),Liberal
15027,Democrat (Weakly Democratic),Liberal
15028,Democrat (Strongly Democratic),Liberal
15035,Independent,Moderate
15036,Republican (Weakly Republican),Moderate
15040,Republican (Weakly Republican),Slightly conservative
15046,Republican (Weakly Republican),Slightly conservative
15047,Republican (Strongly Republican),Conservative
15051,Democrat (Strongly Democratic),Extremely liberal
15056,Independent,Moderate
15057,Republican (Weakly Republican),Conservative
15059,Democrat (Weakly Democratic),Slightly liberal
15060,Independent (Lean toward the Democratic Party),Moderate
15073,Democrat (Strongly Democratic),Liberal
15074,Democrat (Strongly Democratic),Slightly liberal
15076,Democrat (Strongly Democratic),Extremely liberal
15078,Democrat (Weakly Democratic),Moderate
15080,Independent,Moderate
15087,Independent (Lean toward the Republican Party),Slightly conservative
15089,Independent (Lean toward the Democratic Party),Slightly liberal
15093,Republican (Strongly Republican),Extremely conservative
15096,Independent (Lean toward the Democratic Party),Slightly liberal
15097,Democrat (Strongly Democratic),Extremely liberal
15098,Independent (Lean toward the Democratic Party),Extremely liberal
15100,Republican (Strongly Republican),Conservative
15106,Democrat (Strongly Democratic),Extremely liberal
15107,Independent (Lean toward the Democratic Party),Conservative
15113,Republican (Strongly Republican),Conservative
15116,Republican (Strongly Republican),Extremely conservative
15131,Democrat (Strongly Democratic),Liberal
15136,Independent (Lean toward the Republican Party),Slightly conservative
15138,Democrat (Strongly Democratic),Liberal
15140,Republican (Strongly Republican),Moderate
15142,Independent (Lean toward the Republican Party),Slightly conservative
15144,Independent,Liberal
15145,Republican (Strongly Republican),Extremely conservative
15146,Democrat (Weakly Democratic),Extremely liberal
15148,Democrat (Strongly Democratic),Extremely liberal
15153,Republican (Strongly Republican),Conservative
15155,Independent,Moderate
15157,Democrat (Strongly Democratic),Liberal
15160,Independent (Lean toward the Republican Party),Moderate
15163,Democrat (Weakly Democratic),Moderate
15165,Independent (Lean toward the Democratic Party),Moderate
15166,Democrat (Strongly Democratic),Moderate
15171,Independent,Moderate
15174,Democrat (Weakly Democratic),Liberal
15178,Democrat (Strongly Democratic),Extremely liberal
15183,Independent (Lean toward the Democratic Party),Slightly liberal
15184,Democrat (Strongly Democratic),Slightly liberal
15189,Democrat (Strongly Democratic),Extremely liberal
15191,Democrat (Strongly Democratic),Liberal
15197,Independent (Lean toward the Republican Party),Moderate
15204,Independent (Lean toward the Republican Party),Slightly conservative
15207,Democrat (Strongly Democratic),Extremely liberal
15213,Independent (Lean toward the Democratic Party),Moderate
15216,Independent,Moderate
15218,Independent (Lean toward the Republican Party),Moderate
15220,Independent,Moderate
15221,Republican (Strongly Republican),Conservative
15230,Independent (Lean toward the Democratic Party),Moderate
15236,Democrat (Strongly Democratic),Liberal
15238,Independent,Moderate
15251,Democrat (Weakly Democratic),Liberal
15261,Independent (Lean toward the Democratic Party),Extremely liberal
15264,Democrat (Strongly Democratic),Moderate
15265,Independent (Lean toward the Democratic Party),Moderate
15271,Democrat (Strongly Democratic),Liberal
15273,Independent,Moderate
15275,Independent (Lean toward the Democratic Party),Moderate
15278,Democrat (Strongly Democratic),Extremely liberal
15281,Independent (Lean toward the Democratic Party),Liberal
15287,Democrat (Weakly Democratic),Liberal
15292,Democrat (Weakly Democratic),Slightly conservative
15299,Democrat (Weakly Democratic),Slightly conservative
15301,Independent (Lean toward the Democratic Party),Slightly liberal
15306,Democrat (Weakly Democratic),Slightly liberal
15307,Independent (Lean toward the Democratic Party),Liberal
15308,Independent,Moderate
15309,Democrat (Strongly Democratic),Extremely liberal
15313,Democrat (Strongly Democratic),Moderate
15314,Independent (Lean toward the Republican Party),Slightly conservative
15316,Democrat (Strongly Democratic),Liberal
15323,Independent,Slightly conservative
15325,Democrat (Strongly Democratic),Slightly liberal
15329,Republican (Strongly Republican),Conservative
15336,Democrat (Weakly Democratic),Liberal
15338,Democrat (Strongly Democratic),Liberal
15343,Independent,Moderate
15346,Democrat (Strongly Democratic),Liberal
15352,Democrat (Strongly Democratic),Liberal
15359,Independent (Lean toward the Democratic Party),Moderate
15360,Democrat (Weakly Democratic),Liberal
15361,Independent,Liberal
15362,Republican (Strongly Republican),Extremely conservative
15371,Democrat (Strongly Democratic),Extremely liberal
15376,Independent,Slightly liberal
15377,Independent (Lean toward the Democratic Party),Slightly liberal
15379,Democrat (Strongly Democratic),Extremely liberal
15389,Independent,Moderate
15393,Independent,Slightly liberal
15401,Independent (Lean toward the Democratic Party),Liberal
15412,Democrat (Strongly Democratic),Extremely liberal
15420,Democrat (Strongly Democratic),Liberal
15423,Independent (Lean toward the Republican Party),Moderate
15425,Democrat (Weakly Democratic),Slightly liberal
15427,Democrat (Weakly Democratic),Moderate
15433,Independent,Moderate
15437,Independent,Slightly conservative
15439,Democrat (Strongly Democratic),Extremely liberal
15440,Democrat (Strongly Democratic),Liberal
15441,Democrat (Weakly Democratic),Liberal
15443,Independent (Lean toward the Democratic Party),Moderate
15448,Independent (Lean toward the Democratic Party),Liberal
15460,Democrat (Weakly Democratic),Slightly liberal
15461,Democrat (Strongly Democratic),Liberal
15463,Democrat (Weakly Democratic),Slightly liberal
15465,Independent (Lean toward the Republican Party),Moderate
15470,Republican (Strongly Republican),Extremely conservative
15471,Independent,Moderate
15477,Democrat (Strongly Democratic),Slightly liberal
15482,Democrat (Strongly Democratic),Liberal
15485,Independent (Lean toward the Democratic Party),Slightly liberal
15496,Independent,Moderate
15499,Democrat (Weakly Democratic),Liberal
15500,Independent (Lean toward the Republican Party),Conservative
15502,Independent (Lean toward the Democratic Party),Slightly conservative
15503,Democrat (Strongly Democratic),Extremely liberal
15504,Independent (Lean toward the Democratic Party),Slightly liberal
15507,Democrat (Strongly Democratic),Liberal
15508,Democrat (Strongly Democratic),Liberal
15512,Independent (Lean toward the Republican Party),Conservative
15515,Independent (Lean toward the Democratic Party),Extremely liberal
15516,Independent (Lean toward the Republican Party),Slightly liberal
15519,Independent (Lean toward the Democratic Party),Slightly liberal
15522,Democrat (Strongly Democratic),Extremely liberal
15524,Democrat (Strongly Democratic),Liberal
15536,Republican (Strongly Republican),Conservative
15538,Independent (Lean toward the Democratic Party),Liberal
15540,Independent (Lean toward the Republican Party),Conservative
15545,Democrat (Weakly Democratic),Slightly liberal
15550,Republican (Weakly Republican),Moderate
15558,Independent (Lean toward the Republican Party),Liberal
15564,Independent (Lean toward the Democratic Party),Slightly liberal
15567,Republican (Weakly Republican),Conservative
15575,Democrat (Strongly Democratic),Extremely liberal
15576,Republican (Weakly Republican),Conservative
15577,Independent (Lean toward the Democratic Party),Slightly liberal
15578,Democrat (Strongly Democratic),Slightly liberal
15596,Independent (Lean toward the Democratic Party),Slightly liberal
15601,Democrat (Strongly Democratic),Moderate
15604,Independent,Extremely liberal
15608,Independent (Lean toward the Republican Party),Conservative
15612,Independent,Slightly liberal
15615,Democrat (Strongly Democratic),Moderate
15618,Democrat (Strongly Democratic),Extremely liberal
15627,Democrat (Weakly Democratic),Liberal
15632,Independent,Moderate
15633,Independent (Lean toward the Democratic Party),Liberal
15636,Republican (Weakly Republican),Slightly conservative
15641,Democrat (Weakly Democratic),Liberal
15642,Independent,Moderate
15645,Independent (Lean toward the Democratic Party),Moderate
15646,Democrat (Strongly Democratic),Extremely liberal
15652,Democrat (Strongly Democratic),Liberal
15661,Republican (Strongly Republican),Conservative
15663,Democrat (Strongly Democratic),Liberal
15664,Democrat (Weakly Democratic),Liberal
15666,Independent,Moderate
15667,Republican (Strongly Republican),Conservative
15669,Democrat (Strongly Democratic),Slightly liberal
15676,Democrat (Weakly Democratic),Liberal
15678,Independent (Lean toward the Republican Party),Slightly conservative
15683,Independent,Moderate
15685,Independent (Lean toward the Democratic Party),Slightly liberal
15690,Democrat (Strongly Democratic),Liberal
15691,Independent (Lean toward the Democratic Party),Slightly liberal
15692,Democrat (Strongly Democratic),Moderate
15696,Independent (Lean toward the Republican Party),Moderate
15697,Independent (Lean toward the Democratic Party),Liberal
15716,Independent,Extremely liberal
15719,Democrat (Strongly Democratic),Moderate
15725,Democrat (Strongly Democratic),Liberal
15726,Democrat (Strongly Democratic),Extremely liberal
15732,Democrat (Weakly Democratic),Liberal
15734,Republican (Strongly Republican),Conservative
15744,Independent (Lean toward the Democratic Party),Moderate
15750,Independent (Lean toward the Democratic Party),Slightly liberal
15751,Independent (Lean toward the Democratic Party),Liberal
15752,Republican (Weakly Republican),Moderate
15757,Independent (Lean toward the Democratic Party),Extremely liberal
15759,Independent,Moderate
15760,Independent (Lean toward the Republican Party),Moderate
15761,Independent (Lean toward the Democratic Party),Extremely liberal
15765,Republican (Strongly Republican),Conservative
15768,Independent (Lean toward the Democratic Party),Liberal
15770,Democrat (Strongly Democratic),Extremely liberal
15777,Democrat (Strongly Democratic),Liberal
15781,Independent (Lean toward the Democratic Party),Slightly liberal
15783,Independent (Lean toward the Democratic Party),Slightly liberal
15784,Independent (Lean toward the Democratic Party),Liberal
15797,Independent (Lean toward the Democratic Party),Extremely liberal
15799,Democrat (Strongly Democratic),Extremely liberal
15800,Democrat (Strongly Democratic),Liberal
15801,Independent (Lean toward the Democratic Party),Moderate
15802,Republican (Strongly Republican),Extremely conservative
15804,Democrat (Strongly Democratic),Extremely liberal
15808,Independent (Lean toward the Democratic Party),Moderate
15814,Republican (Weakly Republican),Conservative
15817,Democrat (Strongly Democratic),Liberal
15821,Democrat (Strongly Democratic),Extremely liberal
15823,Democrat (Weakly Democratic),Extremely liberal
15824,Democrat (Strongly Democratic),Moderate
15825,Independent (Lean toward the Republican Party),Moderate
15830,Democrat (Strongly Democratic),Liberal
15831,Independent (Lean toward the Democratic Party),Liberal
15833,Democrat (Strongly Democratic),Liberal
15834,Democrat (Strongly Democratic),Liberal
15839,Independent (Lean toward the Democratic Party),Moderate
15843,Republican (Strongly Republican),Conservative
15845,Independent (Lean toward the Democratic Party),Moderate
15853,Republican (Strongly Republican),Extremely conservative
15855,Independent (Lean toward the Republican Party),Moderate
15857,Independent (Lean toward the Democratic Party),Slightly liberal
15860,Independent,Moderate
15868,Independent (Lean toward the Republican Party),Moderate
15869,Democrat (Strongly Democratic),Extremely liberal
15870,Independent (Lean toward the Democratic Party),Slightly liberal
